Pozo,X,Y,Np,K
Pozo-1,692042.39,2267047.55,31.96746,480.816
Pozo-2,691497.04,2267630.4,49.06818,442.26
Pozo-3,692219.04,2266683.42,1.73502,70.308
Pozo-4,693481.66,2266411.86,1.0773,34.02
Pozo-5,691666.24,2266181.57,18.96048,283.5
Pozo-6,691032.73,2268343.57,30.06234,74.844
Pozo-7,692838.12,2266843.61,24.97068,10.6596
Pozo-8,694362.28,2265777.41,17.59968,128.142
Pozo-9,693319.03,2266151.6,71.6688,597.618
Pozo-10,693424.39,2265924.55,0.4536,55.566
Pozo-11,694367.37,2266175.22,11.1699,56.7
Pozo-12,691149.94,2267707.2,14.31108,10.3194
Pozo-13,692737.28,2266546.17,10.87506,28.35
