MD,INC,Az
0,0,42.8
6.7,0.1,42.8
33.4,0.3,76.6
60.1,0.4,72.8
86.8,0.7,102
113.5,0.3,122.8
1642.82,0.7,328.1
1670.96,1.3,151.8
1698.63,2.5,163.1
1726.69,3.4,168.1
1735,3.5,168
1735.3,3.54,167.28
1745.56,4.8,138
1754.18,6.7,114
1773.05,11.1,92
1782.65,14.5,83
1793.37,15.1,78
1974.9,41.85,72.07
1983,44.62,72.51
1991,47.69,72.25
2001.48,52.18,72.42
2006,54.2,72.42
2011.26,56.62,72.25
2021,60.9,69.5
2030,65,66.6
2144,86.77,68.75
2150.29,88.18,68.38
2169,87.94,66.53
2188.19,88.66,69.11
2206.67,88.2,68.64
2217,88.18,68.91
2226.28,87.91,69.17
2235.89,87.78,69.17
2245,87.34,71.19
2254.57,87.34,70.22
2294.2,88.66,68.3
2303.42,89.67,67.15
